Post-OCR Excelsior 1929-1932 - Llama 3.2 + patrones Diana/Irene
Inicio: 2026-09-21T20:10:28.901406
pagina,procesadas,corr_directas,corr_llm
0337_p337,102,1,0
0338_p338,112,0,0
0339_p339,51,1,0
0340_p340,5,0,0
0341_p341,3,0,0
0342_p342,12,0,0
0343_p343,60,1,0
0344_p344,13,0,0
0345_p345,18,0,0
0346_p346,10,0,0
0347_p347,3,0,0
0348_p348,78,2,0
0349_p349,17,0,0
0350_p350,58,4,0
0351_p351,126,4,0
0352_p352,15,0,0
0353_p353,114,3,0
0354_p354,5,0,0
0355_p355,43,0,0
0356_p356,115,2,0
0357_p357,39,0,0
0358_p358,35,0,0
0359_p359,35,0,0
0360_p360,78,0,0
0361_p361,82,1,0
0362_p362,12,0,0
0363_p363,13,0,0
0364_p364,29,0,0
0365_p365,48,0,0
0366_p366,72,1,0
0367_p367,42,0,0
0368_p368,58,1,0
0369_p369,31,0,0
0370_p370,15,0,0
0371_p371,29,0,0
0372_p372,56,1,0
0373_p373,76,1,0
0374_p374,68,0,0
0375_p375,11,0,0
0376_p376,0,0,0
0377_p377,60,0,0
0378_p378,39,0,0
0379_p379,9,0,0
0380_p380,12,1,0
0381_p381,104,0,0
0382_p382,56,0,0
0383_p383,51,1,0
0384_p384,5,0,0
0385_p385,2,0,0
0386_p386,15,0,0
0387_p387,67,0,0
0388_p388,14,0,0
0389_p389,22,1,0
0390_p390,7,1,0
0391_p391,3,0,0
0392_p392,79,0,0
0393_p393,95,1,0
0394_p394,85,1,0
0395_p395,52,0,0
0396_p396,49,0,0
0397_p397,119,0,0
0398_p398,13,0,0
0399_p399,41,0,0
0400_p400,5,0,0
0401_p401,77,1,0
0402_p402,22,1,0
0403_p403,97,4,0
0404_p404,96,1,0
0405_p405,24,0,0
0406_p406,77,0,0
0407_p407,31,0,0
0408_p408,51,2,0
0409_p409,46,3,0
0410_p410,29,0,0
0411_p411,99,6,0
0412_p412,8,0,0
0413_p413,78,2,0
0414_p414,51,0,0
0415_p415,88,1,0
0416_p416,58,0,0
0417_p417,23,0,0
0418_p418,91,1,0
0419_p419,103,2,0
0420_p420,20,0,0
0421_p421,15,0,0
0422_p422,25,0,0
0423_p423,16,0,0
0424_p424,19,0,0
0425_p425,119,2,0
0426_p426,56,0,0
0427_p427,53,1,0
0428_p428,5,0,0
0429_p429,50,1,0
0430_p430,13,0,0
0431_p431,19,0,0
0432_p432,30,2,0
0433_p433,1,0,0
0434_p434,23,1,0
0435_p435,96,0,0
0436_p436,6,0,0
0437_p437,2,0,0
0438_p438,5,0,0
0439_p439,16,0,0
0440_p440,7,0,0
0441_p441,80,3,0
0442_p442,67,0,0
0443_p443,51,0,0
0444_p444,67,0,0
0445_p445,102,0,0
0446_p446,9,0,0
0447_p447,12,0,0
0448_p448,86,0,0
0449_p449,52,2,0
0450_p450,38,0,0
